longitude,latitude
-1.020194199999999940e+00,5.207608950000000192e+01
-1.020218899999999929e+00,5.207605790000000212e+01
-1.020248599999999950e+00,5.207602669999999989e+01
-1.020283999999999969e+00,5.207599429999999785e+01
-1.020324800000000032e+00,5.207596089999999833e+01
-1.020364499999999897e+00,5.207593260000000157e+01
-1.020410800000000062e+00,5.207590760000000074e+01
-1.020471300000000081e+00,5.207587680000000319e+01
-1.020513400000000015e+00,5.207585790000000259e+01
-1.020551299999999939e+00,5.207584270000000259e+01
-1.020583999999999936e+00,5.207583309999999699e+01
-1.020619399999999954e+00,5.207582370000000083e+01
-1.020667400000000002e+00,5.207581069999999812e+01
-1.020721299999999943e+00,5.207579870000000000e+01
-1.020769800000000060e+00,5.207579150000000112e+01
-1.020814499999999958e+00,5.207578809999999692e+01
-1.020866899999999911e+00,5.207578490000000215e+01
-1.020925899999999942e+00,5.207578290000000010e+01
-1.020977400000000035e+00,5.207578409999999991e+01
-1.021034699999999962e+00,5.207578809999999692e+01
-1.021082999999999963e+00,5.207579429999999832e+01
-1.021137500000000031e+00,5.207580509999999663e+01
-1.021188699999999949e+00,5.207581669999999718e+01
-1.021248799999999957e+00,5.207583309999999699e+01
-1.021318200000000065e+00,5.207585519999999946e+01
-1.021371100000000087e+00,5.207587639999999851e+01
-1.021416499999999949e+00,5.207589750000000350e+01
-1.021452400000000038e+00,5.207591850000000022e+01
-1.021486399999999906e+00,5.207594040000000035e+01
-1.021519000000000066e+00,5.207596509999999768e+01
-1.021562899999999940e+00,5.207600250000000131e+01
-1.021578099999999933e+00,5.207601799999999770e+01
-1.021605400000000108e+00,5.207604649999999680e+01
