front_wing_deg,rear_wing_deg,front_height_m,rear_height_m,package,method,objective,lap_time_s,top_speed_mps,fuel_used_kg,tyre_wear_end,tyre_wear_delta,distance_m,high_speed_corner_mps,braking_distance_m,mean_downforce_n,mean_drag_n,max_tyre_load_n,solver_iterations,shift_loss_s,feasible,constraint_reasons,objective_value,pareto,circuit,seed
16.8837366330751,21.374823919057874,0.029193909943829727,0.04515385330911881,standard,random,qualifying,49.68705104626541,83.49752462148282,1.47,0.0194779224453085,0.0194779224453085,2940.0,56.62577453069389,225.0,11310.474393289553,2574.6090615993303,8316.681694940979,16,0.56,True,,49.68705104626541,False,Velocity Park,42
23.207961720673673,14.448589416970693,0.030598073646108524,0.06871567045057994,standard,differential_evolution,qualifying,49.687637212929026,84.24364968909794,1.47,0.019831795765071856,0.019831795765071856,2940.0,56.404134635813534,225.0,11498.535096715374,2475.978409324416,8129.136014401827,16,0.56,True,,49.687637212929026,False,Velocity Park,42
19.96470310491081,18.12773722880141,0.049420611539981035,0.04751378139584668,standard,random,qualifying,49.69389908896566,84.206437313376,1.47,0.019230652123037085,0.019230652123037085,2940.0,56.54318751534447,225.0,10993.570913190528,2485.1781779823536,8043.413692460347,16,0.56,True,,49.69389908896566,False,Velocity Park,42
16.532279633393614,22.360679774997894,0.0351689561244392,0.06072621129700724,standard,local,qualifying,49.69566885572999,82.81603776519134,1.47,0.02008444766090653,0.02008444766090653,2940.0,57.313204852398485,200.0,11850.566887878134,2654.63470574213,8673.602788236749,16,0.56,True,,49.69566885572999,False,Velocity Park,42
12.419076685504027,20.02089550206727,0.02956936308139505,0.07133441687849812,standard,random,qualifying,49.72263537812345,85.73810961166406,1.47,0.019420583673260095,0.019420583673260095,2940.0,54.752440999727696,250.0,11030.932223378957,2287.57796216286,8736.569369095263,17,0.56,True,,49.72263537812345,False,Velocity Park,42
21.25,15.0,0.0475,0.051250000000000004,standard,grid,qualifying,49.74384645869923,85.05583002203622,1.47,0.019433129899107025,0.019433129899107025,2940.0,55.59543977258727,225.0,11065.915849483337,2368.5496738330808,8005.602665061806,16,0.56,True,,49.74384645869923,False,Velocity Park,42
21.25,15.0,0.0475,0.07375000000000001,standard,grid,qualifying,49.855819292079964,85.07116104013133,1.47,0.019268129448481424,0.019268129448481424,2940.0,55.19907786510885,225.0,10905.280526394848,2355.4610989495823,8006.152397833393,16,0.56,True,,49.855819292079964,False,Velocity Park,42
21.25,25.0,0.0325,0.051250000000000004,standard,grid,qualifying,49.86405366254163,79.37243885121315,1.47,0.020036404074300032,0.020036404074300032,2940.0,59.59270701976493,200.0,12121.2068172522,3100.413134767194,8238.830979817456,16,0.48,True,,49.86405366254163,False,Velocity Park,42
16.052565610203473,21.18610692156667,0.03492277121600353,0.08319086873132572,standard,differential_evolution,qualifying,49.87703887112855,83.90790930676238,1.47,0.01923773993059984,0.01923773993059984,2940.0,55.67455296870321,225.0,11014.896893190027,2499.8402122370335,8436.274776774997,16,0.56,True,,49.87703887112855,False,Velocity Park,42
21.803865662532075,23.297017131840644,0.046154961358790055,0.07513280639598856,standard,random,qualifying,49.923274914786795,80.29806706941123,1.47,0.019560139420771002,0.019560139420771002,2940.0,58.713289017323405,200.0,11591.487472629296,2963.214165310663,8126.592050785758,16,0.48,True,,49.923274914786795,False,Velocity Park,42
