sample_index,distance_m,step_m,time_s,dt_s,shift_loss_s,speed_mps,exit_speed_mps,acceleration_mps2,lateral_acceleration_mps2,gear,drs,drs_zone,fuel_kg,mass_kg,tyre_wear,tyre_temperature_c,engine_force_n,available_engine_force_n,brake_force_n,rolling_force_n,front_tyre_load_n,rear_tyre_load_n,max_wheel_load_n,tyre_mu,segment_id,sector_id,radius_m,front_downforce_n,rear_downforce_n,downforce_n,drag_n,drag_longitudinal_n,front_height_m,rear_height_m,yaw_deg,roll_deg,cl_down,cd,front_aero_fraction
94,940.0,10.0,13.26607032884502,0.16315259641839214,0.0,60.84713482573106,61.73749109533952,5.4571995123216315,0.0,3,0,0,9.53,809.53,0.007294212411535984,93.97059388672243,6803.9342221019715,6803.935816956948,0.0,284.6128958650284,8091.575432994411,10882.617624674152,5441.308812337076,1.4924462183227942,203,22,0,4887.272841236889,6148.142841931674,11035.415683168563,2101.554605027213,2101.554605027213,0.027597246388300658,0.055039843574103235,0.0,0.0,3.2441933538747256,0.6178153753494604,0.4428716580827177
95,950.0,10.0,13.429222925263412,0.1608749390625841,0.0,61.73749109533952,62.582680315693835,5.253703437460308,0.0,3,0,0,9.525,809.525,0.007353147166192536,94.02216383386576,6705.81070109871,6705.811860100876,0.0,289.4340887305821,8247.8152555963,11047.790659775841,5523.8953298879205,1.4899935845644137,203,22,0,5029.804524967971,6327.073049154171,11356.877574122142,2163.372337158072,2163.372337158072,0.027517885576973603,0.05495540599761614,0.0,0.0,3.2430921606315253,0.6177768335859484,0.4428862151714057
96,960.0,10.0,13.590097864325996,0.1587690323782481,0.0,62.582680315693835,63.38646933782555,5.06263098093832,0.0,3,0,0,9.52,809.52,0.007413062340784195,94.07519348022686,6615.248081953289,6615.248786271325,0.0,294.07147153568513,8397.795136190678,11206.969632854998,5603.484816427499,1.4876548033843808,203,22,0,5166.914533564778,6499.170927480898,11666.085461045677,2222.8755787284153,2222.8755787284153,0.027441647281522343,0.05487395386024253,0.0,0.0,3.2420158533281147,0.617739162830329,0.44290045283978635
97,970.0,10.0,13.748866896704245,0.15681524465562996,0.0,63.38646933782555,64.1521513104442,4.8827011321514195,0.0,3,0,0,9.515,809.515,0.007473921122305541,94.12961671537789,6531.362109453408,6531.3623605305875,0.0,298.5363875324174,8541.935744426959,11360.490091067535,5680.245045533768,1.4854197368759348,203,22,0,5298.937104705589,6664.858456038905,11963.795560744495,2280.205914927435,2280.205914927435,0.027368323233903338,0.05479532253388203,0.0,0.0,3.240963637687168,0.6177023352828959,0.44291438095886704
98,980.0,10.0,13.905682141359875,0.15499697515408484,0.0,64.1521513104442,64.88262488514091,4.712824711388976,0.0,3,0,0,9.51,809.51,0.007535688842498202,94.18537121751963,6453.408084708843,6453.407898927301,0.0,302.83901343962214,8680.610425644316,11508.657136997159,5754.328568498579,1.4832794788195995,203,22,0,5426.17209464569,6824.514226495786,12250.686321141475,2335.4903391527305,2335.4903391527305,0.02729772865716515,0.05471936234900321,0.0,0.0,3.2399347924636155,0.6176663257000715,0.4429280084725979
99,990.0,10.0,14.06067911651396,0.15330007294576745,0.0,64.88262488514091,65.5804571975098,4.552067712425424,0.0,3,0,0,9.505,809.505,0.007598332775199077,94.24239810368309,6380.753543226256,6380.752947848326,0.0,306.98853335757957,8814.152802119832,11651.749421718809,5825.874710859404,1.481226159842977,203,22,0,5548.89010620291,6978.47990938573,12527.37001558864,2388.843436321734,2388.843436321734,0.02722969848000109,0.05464593662226762,0.0,0.0,3.238928655529376,0.6176311109073731,0.4429413435779463
100,1000.0,10.0,14.213979189459728,0.1517123871574637,0.0,65.5804571975098,66.2479345029109,4.399622983377822,0.0,3,0,0,9.5,809.5,0.007661821961529149,94.30064162741886,6312.857233716042,6312.856263766948,0.0,310.9932795250227,8942.86283385015,11790.02246781803,5895.011233909015,1.4792527901989188,203,22,0,5667.336638853847,7127.065487814334,12794.402126668181,2440.369149146673,2440.369149146673,0.027164084319671208,0.05457492001606008,0.0,0.0,3.2379446132131884,0.6175966694263065,0.4429543938626924
101,1010.0,10.0,14.365691576617191,0.15022341474163517,0.0,66.2479345029109,66.88710329660532,4.25478807543891,0.0,3,0,0,9.495,809.495,0.00772612705798756,94.36004891560444,6249.252742798348,6249.251438651406,0.0,314.8608474535184,9067.011707545023,11923.71145602287,5961.855728011435,1.4773531316833024,203,22,0,5781.735483184808,7270.553538633084,13052.28902181789,2490.162222217409,2490.162222217409,0.02710075204927833,0.05450619716366696,0.0,0.0,3.236982092046402,0.617562981185469,0.4429671664119756
102,1020.0,10.0,14.515914991358827,0.1488240216282533,0.0,66.88710329660532,67.49980401300823,4.116947719188602,0.0,3,0,0,9.49,809.49,0.007791220203564067,94.42056973777187,6189.535594270939,6189.5339997630235,0.0,318.59819101377934,9186.845822173562,12053.033578745062,6026.516789372531,1.4755215923793368,203,22,0,5892.291524115727,7409.202768302897,13301.494292418625,2538.3093940511785,2538.3093940511785,0.027039579815479813,0.05443966150889109,0.0,0.0,3.2360405523092597,0.6175300272946691,0.44297966789145804
103,1030.0,10.0,14.66473901298708,0.14750621977641784,0.0,67.49980401300823,68.08769887544588,3.9855598179436127,0.0,3,0,0,9.485,809.485,0.007857074902775736,94.48215630269928,6133.352980634185,6133.351141585774,0.0,322.2117016570144,9302.590069366754,12178.190041100872,6089.095020550436,1.473753139467307,203,22,0,5999.193076273262,7543.250958944364,13542.444035217626,2584.890389749086,2584.890389749086,0.02698045640768202,0.054375214320159355,0.0,0.0,3.235119482939683,0.6174977898667339,0.4429919046127965
104,1040.0,10.0,14.812245232763498,0.18626298729479113,0.04,68.08769887544588,68.65229508960466,3.8601441458381034,0.0,4,0,0,9.48,809.48,0.007923665922140524,94.54476307803681,6080.395512391944,6080.393475440227,0.0,325.70727495109304,9414.4505572645,12299.36777280837,6149.683886404185,1.4720432264667942,203,22,0,6102.613845295586,7672.917442777282,13775.531288072867,2629.978754267823,2629.978754267823,0.026923279904582185,0.05431276384769379,0.0,0.0,3.2342183974834935,0.6174662518757672,0.4430038825855923
105,1050.0,10.0,14.998508220058289,0.14508812209265903,0.0,68.65229508960466,69.19496429684742,3.740273148591632,0.0,4,0,0,9.475,809.475,0.00799096919806995,94.60834662953292,6030.390530909133,6030.388342584164,0.0,329.0903668773322,9522.616890560666,12416.740901261483,6208.370450630741,1.470387732109256,203,22,0,6202.71458720285,7798.405195869298,14001.119783072148,2673.64255707559,2673.64255707559,0.026867956541809446,0.0542522245988118,0.0,0.0,3.233336830847987,0.6174353970435245,0.4430156075589149
106,1060.0,10.0,15.143596342150948,0.1439761218878884,0.0,69.19496429684742,69.71695899813925,3.6255643953119945,0.0,4,0,0,9.47,809.47,0.008058961754530263,94.67286547704947,5983.096644976107,5983.094350969442,0.0,332.36604178966877,9627.26409330643,12530.47202600482,6265.23601300241,1.468782908658159,203,22,0,6299.644521920863,7919.902621890386,14219.547143811249,2715.944992113238,2715.944992113238,0.02681439975748982,0.05419351671141829,0.0,0.0,3.2324743366803164,0.617405209747656,0.4430270850547197
107,1070.0,10.0,15.287572464038837,0.1429220851178804,0.0,69.71695899813925,70.21942650522254,3.5156743387060487,0.0,4,0,0,9.465,809.465,0.00812762162911129,94.7382799650454,5938.299233954665,5938.2968785406965,0.0,335.5390135297923,9728.554241636944,12640.71332701588,6320.35666350794,1.4672253379606455,203,22,0,6393.542545006169,8037.585081396654,14431.127626402824,2756.944891844181,2756.944891844181,0.02676252938223934,0.05413656540962955,0.0,0.0,3.231630485235527,0.6173756749470884,0.4430383203949154
108,1080.0,10.0,15.430494549156718,0.14192162856552337,0.0,70.21942650522254,70.70342085885108,3.410293121073346,0.0,4,0,0,9.46,809.46,0.008196927806373017,94.80455214560074,5895.806720945366,5895.804346525229,0.0,338.6136808821239,9826.637859054683,12747.607533086912,6373.803766543456,1.4657118938701337,203,22,0,6484.538272486686,8151.61621065491,14636.154483141596,2796.697170279211,2796.697170279211,0.026712270947341042,0.05408130052850112,0.0,0.0,3.230804861630971,0.617346778120929,0.44304931872342496
109,1090.0,10.0,15.572416177722241,0.14097081845424903,0.0,70.70342085885108,71.16991306444484,3.3091402228410063,0.0,4,0,0,9.455,809.455,0.008266860157525242,94.87164567236755,5855.447464269797,5855.445111015064,0.0,341.5941583151116,9921.655115894042,12851.288771780066,6425.644385890033,1.4642397099525315,203,22,0,6572.7529467298555,8262.14906519425,14834.902011924105,2835.2532068749188,2835.2532068749188,0.026663555090354278,0.05402765609722203,0.0,0.0,3.2299970644075624,0.6173185052181096,0.4430600850242732
110,1100.0,10.0,15.71338699617649,0.14006611247464568,0.0,71.16991306444484,71.61979992641393,3.211960794946208,0.0,4,0,0,9.45,809.45,0.00833739938564562,94.93952570408888,5817.067149133166,5817.0648547107285,0.0,344.484302771565,10013.736866166717,12951.883318604285,6475.941659302142,1.462806151600678,203,22,0,6658.300225830818,8369.327116440183,15027.627342271,2872.6611808923926,2872.6611808923926,0.02661631704160828,0.05397556997203441,0.0,0.0,3.2292067043361214,0.6172908426156092,0.4430706241365049
111,1110.0,10.0,15.853453108651136,0.13920431074277625,0.0,71.61979992641393,72.05391170853888,3.118522550117723,0.0,4,0,0,9.445,809.445,0.008408526975763582,95.00815881653527,5780.526586704925,5780.5243860687415,0.0,347.28773712725484,10103.005548478495,13049.510260005161,6524.755130002581,1.4614087918473873,203,22,0,6741.286874780999,8473.285124452657,15214.571999233656,2908.9663639976297,2908.9663639976297,0.02657049617827876,0.05392498351165393,0.0,0.0,3.2284334034205626,0.6172637770835646,0.4430809407665593
