scenario_id,name,pressure_pa,temperature_k,grip,headwind_mps,crosswind_mps,aero_multiplier,density_multiplier,height_offset_m,baseline_lap_s,candidate_lap_s,delta_s,feasible,error
33,Dry,101325.0,288.15,1.0418786744664064,-2.7462834264619893,1.5396723118753641,1.0117583603116154,1.0004358442498935,0.00024354568910461014,38.5427635676729,38.03007613783684,-0.5126874298360562,True,
34,Dry,101325.0,288.15,0.9644937528040476,3.9608093165732097,-1.634753137002213,1.0018406804846391,0.9844564069584594,0.00016521792316098998,38.73857152281167,38.22207120434837,-0.5165003184633008,True,
35,Dry,101325.0,288.15,0.9899886046286251,-4.388273828506292,-0.43319593283969526,1.0192554941375942,1.0183358666536955,0.0014437878625602565,39.3664607867656,39.29012100947857,-0.076339777287032,True,
36,Dry,101325.0,288.15,1.0182395051005615,2.2244455375107455,0.5089722468424842,0.9883100544386341,1.00632359671988,0.00033106178944861597,38.19535153569583,37.6158019416534,-0.579549594042426,True,
37,Dry,101325.0,288.15,1.0098195709294147,-1.6473020658139994,-1.0695628015096919,1.0267731580650346,1.017638574322429,-0.0006501758512913183,38.7148693606287,38.24528238159241,-0.4695869790362863,True,
38,Dry,101325.0,288.15,1.0175185795692288,-4.188139900062302,1.9601351204395105,1.0474235711908004,0.9806173686364559,-0.0015447854166100203,38.96116576293117,38.85028242845393,-0.11088333447723642,True,
39,Dry,101325.0,288.15,1.0303178413612726,3.021592974678045,1.5793037921981115,1.0102365384215102,0.9898448030425849,0.00014989359096850364,37.97075164559432,37.3789344352259,-0.5918172103684185,True,
40,Dry,101325.0,288.15,0.9882291988551759,3.7282117361452034,-1.6649785810719933,0.9555078698796522,0.9894379744660243,-1.797591900747162e-06,38.48626600861832,37.95894452542837,-0.5273214831899509,True,
41,Dry,101325.0,288.15,1.0131755609538269,-1.4652385848860194,1.8418437678187503,1.0462459432610052,1.0079483991724718,-0.001570681964137381,38.5942130571103,38.19250057745926,-0.40171247965103873,True,
42,Dry,101325.0,288.15,1.0034567775509307,-2.921895803879353,-1.0821881181068198,1.0319627913893388,1.0096075826016382,-0.0017916189463289128,39.002231165095594,38.77628035947836,-0.2259508056172308,True,
43,Dry,101325.0,288.15,0.9568234051726093,0.7302218933606861,1.0955737078259489,1.021626399277373,0.9965322885760373,0.0011138564013735575,39.25829878609325,38.84835959394711,-0.4099391921461404,True,
44,Dry,101325.0,288.15,0.9527425231067731,-1.0204490674944457,-0.611802186630741,1.0406524827410948,0.9904604057675348,-4.92981219009799e-05,39.46515684624439,39.26493330397924,-0.2002235422651495,True,
45,Dry,101325.0,288.15,0.9726963509736001,-0.7960275856808341,-0.036576306061543384,1.036880334237725,0.9922933689874188,0.0004765993466553796,39.19317016534666,38.84077115277462,-0.352399012572036,True,
46,Dry,101325.0,288.15,1.0154886584915257,-0.1163026870120003,-1.3075926743791868,0.9682207439472186,1.0038665978071908,0.001307458166588604,38.63329968892934,38.10764002708828,-0.5256596618410612,True,
47,Dry,101325.0,288.15,1.0411487070157186,0.8381973838665902,1.1853884584980725,1.0223705571515875,1.0198176555950302,0.001219516425940489,38.023862579194756,37.421511762918314,-0.6023508162764415,True,
48,Dry,101325.0,288.15,1.038252315098592,-2.698694785003645,-0.20885645915032303,0.9595258944451416,0.990842507595558,0.0013557423452786712,38.60463233776233,38.51552790923971,-0.08910442852262435,True,
49,Dry,101325.0,288.15,1.0463032277901505,4.914944239665537,1.9140211365432371,1.0147321370415268,0.9892640997920342,-0.0006740164000645658,37.57368548852492,36.96605571424273,-0.607629774282195,True,
50,Dry,101325.0,288.15,0.971110467382579,-2.2416374215482926,-0.3779015077013539,0.9913587789072181,1.0002452773626738,-0.00033887013542366557,39.451545046501515,39.48450864324839,0.03296359674687466,True,
