track_point_id,circuit_id,point_index,distance_m,step_m,x_m,y_m,heading_rad,curvature_1pm,classification,sector_id,is_synthetic,is_derived,data_source
10100092,101,92,460.0,5.0,279.8734135367073,365.0526820260173,0.8716908341761379,-0.003991907057019193,fast_corner,1011,False,True,OSM-derived smoothed centreline
10100093,101,93,465.0,5.0,283.14935886988553,368.8296284688936,0.8333461414117828,-0.013072091478795126,corner,1011,False,True,OSM-derived smoothed centreline
10100094,101,94,470.0,5.0,286.6720065021448,372.3750893652724,0.7325188739759267,-0.02634697585587238,corner,1011,False,True,OSM-derived smoothed centreline
10100095,101,95,475.0,5.0,290.60860560923715,375.4514869285285,0.594350577264341,-0.0262782380237735,corner,1011,False,True,OSM-derived smoothed centreline
10100096,101,96,480.0,5.0,294.90549302969293,378.00353249850804,0.48557140330114873,-0.016868712768394422,corner,1011,False,True,OSM-derived smoothed centreline
10100097,101,97,485.0,5.0,299.40970815784965,380.1719869642612,0.4140414951863539,-0.014267752221017456,corner,1011,False,True,OSM-derived smoothed centreline
10100098,101,98,490.0,5.0,304.06276760899084,381.99817024387534,0.33106554968994556,-0.01720253427675532,corner,1011,False,True,OSM-derived smoothed centreline
10100099,101,99,495.0,5.0,308.84757346899573,383.4460421088315,0.2629528918565735,-0.010194279104586075,corner,1011,False,True,OSM-derived smoothed centreline
10100100,101,100,500.0,5.0,313.70574567176317,384.62642075914084,0.21325267101908243,-0.01034941825584467,corner,1011,False,True,OSM-derived smoothed centreline
10100101,101,101,505.0,5.0,318.6162439821976,385.5659897053669,0.16783334064925942,-0.0070085341035165585,corner,1011,False,True,OSM-derived smoothed centreline
10100102,101,102,510.0,5.0,323.5576530217367,386.32819824356795,0.13986536943510983,-0.005051294519021048,fast_corner,1011,False,True,OSM-derived smoothed centreline
10100103,101,103,515.0,5.0,328.51748626806096,386.95952371614766,0.1126615872373472,-0.005809900691978213,fast_corner,1011,False,True,OSM-derived smoothed centreline
10100104,101,104,520.0,5.0,333.4933944786638,387.4479331378935,0.08265162040428849,-0.00631403599554068,corner,1011,False,True,OSM-derived smoothed centreline
10100105,101,105,525.0,5.0,338.48236296472027,387.77614431003377,0.04758442631809234,-0.007564359263784004,corner,1011,False,True,OSM-derived smoothed centreline
10100106,101,106,530.0,5.0,343.47993152239496,387.92429406043806,0.013644085502316588,-0.0053093945165068055,fast_corner,1011,False,True,OSM-derived smoothed centreline
10100107,101,107,535.0,5.0,348.479835841868,387.9393292469857,-0.005837356007917888,-0.0032546495252959444,fast_corner,1011,False,True,OSM-derived smoothed centreline
10100108,101,108,540.0,5.0,353.47914488149445,387.8619008817245,-0.0274287832848069,-0.00590640794290532,fast_corner,1011,False,True,OSM-derived smoothed centreline
10100109,101,109,545.0,5.0,358.4737930170355,387.6368832972415,-0.06491884482130686,-0.008572674084306594,corner,1011,False,True,OSM-derived smoothed centreline
10100110,101,110,550.0,5.0,363.4551397152916,387.2091356788422,-0.10452929873936266,-0.006388133224544311,corner,1011,False,True,OSM-derived smoothed centreline
10100111,101,111,555.0,5.0,368.42098541815926,386.6264818540628,-0.12570370720420254,-0.002468568222020601,fast_corner,1011,False,True,OSM-derived smoothed centreline
10100112,101,112,560.0,5.0,373.3782423564909,385.9742410001618,-0.1355974463598055,-0.0019900445034688446,fast_corner,1011,False,True,OSM-derived smoothed centreline
10100113,101,113,565.0,5.0,378.32852153642295,385.27105390086166,-0.1469914755713431,-0.0023975573309925353,fast_corner,1011,False,True,OSM-derived smoothed centreline
10100114,101,114,570.0,5.0,383.2705908918964,384.5122683856504,-0.15669378382027088,-0.0012073769311083248,straight,1011,False,True,OSM-derived smoothed centreline
10100115,101,115,575.0,5.0,388.208289301248,383.72542045933335,-0.1576589108151599,0.0007997632594024445,straight,1011,False,True,OSM-derived smoothed centreline
10100116,101,116,580.0,5.0,393.1487505399834,382.95617905349326,-0.1504031813245745,0.0018210115818332651,fast_corner,1011,False,True,OSM-derived smoothed centreline
10100117,101,117,585.0,5.0,398.0954949492289,382.22845526199086,-0.14221385638910258,0.0012559314541540452,straight,1011,False,True,OSM-derived smoothed centreline
10100118,101,118,590.0,5.0,403.04656247155657,381.530668877168,-0.13878363940195987,0.00010646649517623516,straight,1011,False,True,OSM-derived smoothed centreline
10100119,101,119,595.0,5.0,407.998084969071,380.8361065465418,-0.14068053776191333,-0.0007713006482551108,straight,1011,False,True,OSM-derived smoothed centreline
10100120,101,120,600.0,5.0,412.9470858501876,380.1238253615762,-0.14541436497838225,-0.00102965365802451,straight,1011,False,True,OSM-derived smoothed centreline
10100121,101,121,605.0,5.0,417.89245220315905,379.38673584348015,-0.1504369451486138,-0.0009582199506684265,straight,1011,False,True,OSM-derived smoothed centreline
10100122,101,122,610.0,5.0,422.83424329152695,378.6260384662541,-0.1549268095943857,-0.0008365873228585623,straight,1011,False,True,OSM-derived smoothed centreline
10100123,101,123,615.0,5.0,427.77281060045175,377.8446788086717,-0.15880039392728235,-0.0007128290594269919,straight,1011,False,True,OSM-derived smoothed centreline
10100124,101,124,620.0,5.0,432.70856254881494,377.0457222969017,-0.16205504951686162,-0.0005890328831147514,straight,1011,False,True,OSM-derived smoothed centreline
10100125,101,125,625.0,5.0,437.64194079434884,376.23223278592985,-0.1646903713618227,-0.000464789545452925,straight,1011,False,True,OSM-derived smoothed centreline
10100126,101,126,630.0,5.0,442.57342128989734,375.40731326792894,-0.1666710598115952,-0.0003144380938665556,straight,1011,False,True,OSM-derived smoothed centreline
10100127,101,127,635.0,5.0,447.50370141186306,374.57524550325155,-0.16731569749406977,0.00018088442883962757,straight,1011,False,True,OSM-derived smoothed centreline
10100128,101,128,640.0,5.0,452.4351814608234,373.75034411096897,-0.16269384190560415,0.0019431110648570563,fast_corner,1011,False,True,OSM-derived smoothed centreline
10100129,101,129,645.0,5.0,457.37481671127046,372.9761181700506,-0.14575165058637757,0.004903709079463377,fast_corner,1011,False,True,OSM-derived smoothed centreline
10100130,101,130,650.0,5.0,462.3315783810288,372.32143452443773,-0.11512418300291678,0.006978380070886557,corner,1011,False,True,OSM-derived smoothed centreline
10100131,101,131,655.0,5.0,467.307555686773,371.83439199370093,-0.08037829592785382,0.006588178634569454,corner,1011,False,True,OSM-derived smoothed centreline
10100132,101,132,660.0,5.0,472.29690406032535,371.5110950747563,-0.04956736598476861,0.006000472881640087,fast_corner,1011,False,True,OSM-derived smoothed centreline
10100133,101,133,665.0,5.0,477.293859004375,371.3430720302099,-0.01609806662395012,0.00785642244485994,corner,1011,False,True,OSM-derived smoothed centreline
10100134,101,134,670.0,5.0,482.2933176099625,371.37405940276506,0.030868453172626997,0.010554958389800287,corner,1011,False,True,OSM-derived smoothed centreline
10100135,101,135,675.0,5.0,487.28487345118924,371.65600430275197,0.07957257071256585,0.0077136134811101875,corner,1011,False,True,OSM-derived smoothed centreline
10100136,101,136,680.0,5.0,492.2628511468508,372.1236001572578,0.10300307323272694,0.0022631523801262565,fast_corner,1011,False,True,OSM-derived smoothed centreline
10100137,101,137,685.0,5.0,497.23341784758793,372.6650569291021,0.11575760170372534,0.004263198903907437,fast_corner,1011,False,True,OSM-derived smoothed centreline
10100138,101,138,690.0,5.0,502.1900691733245,373.32001184159395,0.15178084607682782,0.009849317625883834,corner,1011,False,True,OSM-derived smoothed centreline
10100139,101,139,695.0,5.0,507.10998032183267,374.2079475144303,0.20621251889393066,0.010892084923444588,corner,1011,False,True,OSM-derived smoothed centreline
