drs_event_id,run_id,start_time_s,end_time_s,start_distance_m,end_distance_m,entry_speed_mps,exit_speed_mps,circuit_id,setup_id,weather_id,tyre_id,session_id,car_id,date_id,comparison_group
99,50,1.29081618428,6.42166858702,100,510,77.778605072,82.463925671,2,5,2,2,1,1,20260917,setup_sweep
100,50,29.7966438764,35.5467226544,1650,2020,50.2090626647,74.9208106774,2,5,2,2,1,1,20260917,setup_sweep
101,51,1.66387517042,7.68963983461,100,530,63.4955172284,77.0774281627,2,5,3,2,3,1,20260917,setup_sweep
102,51,35.3387615,41.5323535927,1650,2020,42.5989550441,72.3219496504,2,5,3,2,3,1,20260917,setup_sweep
103,52,1.27140646195,6.07725359752,100,510,81.856667297,87.9027478454,2,6,1,2,1,1,20260917,setup_sweep
104,52,29.0684363845,34.6889444286,1650,2020,50.7871820089,77.6917974726,2,6,1,2,1,1,20260917,setup_sweep
105,53,1.36583565648,6.63518742466,100,530,75.3211767528,87.3633208883,2,6,2,2,1,1,20260917,setup_sweep
106,53,30.1710289719,35.7730151768,1650,2020,50.2639222997,78.641791139,2,6,2,2,1,1,20260917,setup_sweep
107,54,1.7592358347,7.62158269279,100,530,63.1154911082,82.1624735983,2,6,3,2,3,1,20260917,setup_sweep
108,54,35.8747048296,41.9889761394,1650,2020,41.8396447679,75.7216665849,2,6,3,2,3,1,20260917,setup_sweep
109,55,1.24974741771,5.6458893616,100,460,80.2744034548,84.4107759393,2,7,1,2,1,1,20260917,setup_sweep
110,55,29.2381092859,34.932890778,1650,2020,50.5639226942,75.9797857332,2,7,1,2,1,1,20260917,setup_sweep
111,56,1.34771204222,6.68169657763,100,530,75.7005190324,85.192845271,2,7,2,2,1,1,20260917,setup_sweep
112,56,30.2141168865,35.8818384408,1650,2020,50.0693249234,77.0798809604,2,7,2,2,1,1,20260917,setup_sweep
113,57,1.75345186923,7.67422027066,100,530,62.8506529824,79.9461596297,2,7,3,2,3,1,20260917,setup_sweep
114,57,35.8687294882,42.0540635163,1650,2020,41.662500667,74.182954596,2,7,3,2,3,1,20260917,setup_sweep
115,58,1.23499343954,6.27706892728,100,520,81.2686467866,85.9203516448,2,8,1,2,1,1,20260917,setup_sweep
116,58,28.8702241383,34.5367766005,1650,2020,50.8218883158,76.4887501979,2,8,1,2,1,1,20260917,setup_sweep
117,59,1.32845565809,6.59868684849,100,530,76.7424199843,86.206137469,2,8,2,2,1,1,20260917,setup_sweep
118,59,29.8725239081,35.5149551498,1650,2020,50.3092203556,77.5411107545,2,8,2,2,1,1,20260917,setup_sweep
119,60,1.68783892428,7.55230169232,100,530,63.6078000904,80.7336015277,2,8,3,2,3,1,20260917,setup_sweep
120,60,35.4537139809,41.5854585351,1650,2020,42.1120815895,74.7360366262,2,8,3,2,3,1,20260917,setup_sweep
121,61,1.27201046207,6.32110625485,100,510,78.9805084308,83.8943212086,2,9,1,2,1,1,20260917,setup_sweep
122,61,29.5177312393,35.2221524737,1650,2020,50.5996984396,75.713226891,2,9,1,2,1,1,20260917,setup_sweep
123,62,1.39756317248,6.83516595166,100,530,73.412448028,84.0990888155,2,9,2,2,1,1,20260917,setup_sweep
124,62,30.5178418822,36.1918978675,1650,2020,50.1565245924,76.845384172,2,9,2,2,1,1,20260917,setup_sweep
125,63,1.78040230341,7.74580115933,100,530,62.1320325318,79.439989052,2,9,3,2,3,1,20260917,setup_sweep
126,63,36.0013594069,42.1447368432,1650,2020,42.2064168537,74.1348908067,2,9,3,2,3,1,20260917,setup_sweep
127,64,1.22258266702,6.17073523714,100,520,82.1213926472,86.9045886681,2,10,1,2,1,1,20260917,setup_sweep
128,64,28.7055746779,34.3482546622,1650,2020,50.9921775639,76.9534084896,2,10,1,2,1,1,20260917,setup_sweep
129,65,1.32922779792,6.57583415076,100,530,76.8211356081,86.8324451741,2,10,2,2,1,1,20260917,setup_sweep
130,65,29.7870153661,35.406129076,1650,2020,50.5118123758,77.9769982194,2,10,2,2,1,1,20260917,setup_sweep
131,66,1.68368442251,7.51661865178,100,530,63.8203735549,81.3427762854,2,10,3,2,3,1,20260917,setup_sweep
132,66,35.3876627239,41.4662537585,1650,2020,42.5847125524,75.2730964549,2,10,3,2,3,1,20260917,setup_sweep
133,67,1.23509490569,6.14134797125,100,510,81.3601931721,86.382601009,2,11,1,2,1,1,20260917,setup_sweep
134,67,28.9765326597,34.6261427688,1650,2020,50.9257410519,76.8320226498,2,11,1,2,1,1,20260917,setup_sweep
135,68,1.35687731856,6.66073192216,100,530,75.4904781835,86.2234278344,2,11,2,2,1,1,20260917,setup_sweep
136,68,30.0298049775,35.654356918,1650,2020,50.4704663601,77.8697541649,2,11,2,2,1,1,20260917,setup_sweep
137,69,1.7446156821,7.6067396546,100,530,63.2570203506,81.0649061491,2,11,3,2,3,1,20260917,setup_sweep
138,69,35.5493378935,41.6240088611,1650,2020,42.6553503894,75.2061316442,2,11,3,2,3,1,20260917,setup_sweep
139,70,1.3051144493,6.6054876699,100,520,76.7667319539,80.9092532183,2,12,1,2,1,1,20260917,setup_sweep
140,70,29.2916772814,35.064928624,1650,2020,50.5444133884,74.0994909996,2,12,1,2,1,1,20260917,setup_sweep
141,71,1.33278757572,6.39133241046,100,500,75.8651767198,82.4199539833,2,12,2,2,1,1,20260917,setup_sweep
142,71,30.1234760439,35.8568716902,1650,2020,50.1533100176,75.3670169402,2,12,2,2,1,1,20260917,setup_sweep
