scenario_id,name,pressure_pa,temperature_k,grip,headwind_mps,crosswind_mps,aero_multiplier,density_multiplier,height_offset_m,baseline_lap_s,candidate_lap_s,delta_s,feasible,error,circuit_id
102,Dry,101325,288.15,0.972361024298,-1.19562461816,1.70964988147,0.985154683087,1.01055375633,0.00137625348556,39.2797124244,39.0941380275,-0.185574396956,True,,2
103,Dry,101325,288.15,0.96992527231,-3.33118996691,0.502511806899,1.03314045496,1.01019419444,-0.000715900804996,39.477933935,39.469452137,-0.00848179802813,True,,2
104,Dry,101325,288.15,0.988122686915,2.30186930158,0.547588191158,0.972447373735,1.01146542571,0.00191293576096,38.6153984638,38.0452176415,-0.570180822227,True,,2
105,Dry,101325,288.15,1.01521828515,2.52769545461,0.251862742512,0.995752327538,1.0163582304,-0.00141424491066,38.1616649865,37.6134273776,-0.548237608849,True,,2
106,Dry,101325,288.15,1.0118644827,1.54109017244,1.94204555095,1.02062737018,0.995802360803,0.00149040841097,38.3670154252,37.7570195795,-0.609995845625,True,,2
107,Dry,101325,288.15,1.00049842165,-0.941526718242,1.73599071246,1.01979498026,1.00459953019,-2.39916902434e-07,38.8383395497,38.3215922286,-0.516747321155,True,,2
108,Dry,101325,288.15,1.0373560481,-3.69654817411,-0.486214071076,0.953333620112,1.01187245819,0.00120359253341,38.7106608577,38.7053137417,-0.0053471160078,True,,2
109,Dry,101325,288.15,0.966525650969,-4.88120431146,-1.67393458921,1.03712005475,1.00060518293,-0.0017775317349,39.9613563262,40.1063233129,0.144966986721,True,,2
110,Dry,101325,288.15,1.01027679507,-0.185422622565,1.6806140011,1.02282633175,0.987130846589,0.00150591535616,38.6580255073,38.0854924804,-0.572533026859,True,,2
111,Dry,101325,288.15,1.01317789932,-3.87289418227,0.712797424836,1.02193883228,1.01479319907,-0.0014320325648,38.9522315317,38.8373937165,-0.114837815145,True,,2
112,Dry,101325,288.15,0.953316746808,-0.646584114407,-0.999888282188,1.02174316772,0.987173989191,0.000120274898358,39.4372005748,39.3004649107,-0.13673566405,True,,2
113,Dry,101325,288.15,0.999887801636,0.718316094836,-0.227793538607,1.03660705988,0.995895877842,-0.00173385433323,38.5220559335,38.0926030299,-0.429452903597,True,,2
114,Dry,101325,288.15,0.979247570042,-3.13383379227,1.90923593785,1.0417026539,1.00397238255,-0.0019936313697,39.3339582697,39.2768320679,-0.0571262018115,True,,2
115,Dry,101325,288.15,1.03428472912,4.01997376624,1.96844496359,1.0316717447,1.01991900538,0.00122728620353,37.7052278471,37.1108940769,-0.594333770205,True,,2
116,Dry,101325,288.15,1.04681549723,3.50385934023,-1.87420581072,1.03952573169,1.00844721259,0.00045243002111,37.6669293664,37.0291304621,-0.637798904314,True,,2
117,Dry,101325,288.15,1.00614819609,-4.30985399759,-1.66518326116,1.04592135478,0.985274883036,-0.00192382876143,39.10933052,39.1160825314,0.00675201142829,True,,2
118,Dry,101325,288.15,1.02117350056,3.57124794073,-0.0484594752435,0.97760026504,0.992674038613,0.00199889018159,38.0831420123,37.4443910672,-0.6387509451,True,,2
119,Dry,101325,288.15,1.03052414461,0.504210691862,-1.95602191184,0.969962304709,1.01708791694,0.000247791548062,38.2524166237,37.704230794,-0.548185829789,True,,2
120,Dry,101325,288.15,0.985633172944,-2.95895297299,-1.66818974505,0.982698903224,0.994077225175,-0.00192218557089,39.4199771449,39.5586982817,0.138721136782,True,,2
121,Dry,101325,288.15,1.03854043949,-4.82298793032,0.154175269501,0.983286651606,0.99678299047,0.00150832965512,38.8507316938,38.867699324,0.0169676302044,True,,2
122,Dry,101325,288.15,1.00083219063,2.0408184114,1.39154832599,0.997950487627,0.988993599022,-0.000969113375482,38.4352052089,37.8996936542,-0.535511554759,True,,2
123,Dry,101325,288.15,1.02738032562,-0.218085791403,0.0609577337251,1.03170204477,1.00020131428,-0.000479473337086,38.2850713512,37.7510452468,-0.534026104393,True,,2
124,Dry,101325,288.15,1.01559178068,-1.93491035387,-1.05843611859,1.00657738521,0.989093358892,0.00131456137475,38.8117248655,38.3826381924,-0.429086673119,True,,2
125,Dry,101325,288.15,1.02670889243,4.80499753835,-0.0767996835011,1.02529761279,1.01601417655,-0.000236434558336,37.6907343405,37.130830872,-0.559903468499,True,,2
126,Dry,101325,288.15,1.04874142238,-0.833076544132,-1.68850127826,0.953457686959,0.984315319635,-0.00028991383203,38.2334369082,37.9252756517,-0.308161256584,True,,2
127,Dry,101325,288.15,0.969750348968,-4.44286706177,-0.305349213788,1.01536467952,1.0095738306,-0.000691879967368,39.8378120753,39.9224781564,0.084666081079,True,,2
128,Dry,101325,288.15,0.987357113933,1.65252508102,1.54591915414,1.04657076751,1.00324731467,-0.00151094895079,38.5881984283,38.0434261909,-0.544772237367,True,,2
129,Dry,101325,288.15,1.02479119939,-0.9869289549,1.90927351699,1.0022859433,1.00307443737,0.00121073191139,38.5334594441,38.016507986,-0.516951458115,True,,2
130,Dry,101325,288.15,0.991256153061,-1.54936905866,-1.50205081039,1.03269254197,1.00580979429,-0.00105599531028,39.0051006662,38.5904515212,-0.414649144991,True,,2
131,Dry,101325,288.15,0.968787767144,0.815727530174,-1.33388265417,0.99929830434,1.0196977825,0.000610216928704,39.0725424815,38.5288965862,-0.543645895311,True,,2
132,Dry,101325,288.15,1.03772944971,4.62776507114,-1.03552337504,1.00934676624,1.00686444628,-0.00139088368678,37.6716830755,37.0837641476,-0.587918927911,True,,2
133,Dry,101325,288.15,1.04421159945,-0.0109448765526,1.92285418625,1.01156441365,0.997901230722,0.00146607179615,38.1352047125,37.5538949472,-0.581309765368,True,,2
134,Dry,101325,288.15,1.02742581772,3.94778830523,1.42339902721,0.98570285131,1.01629777199,-0.000571863829425,37.8993653599,37.3087167643,-0.590648595547,True,,2
