optimization_result_id,optimization_run_id,front_wing_deg,rear_wing_deg,front_height_m,rear_height_m,package,method,objective,lap_time_s,top_speed_mps,fuel_used_kg,tyre_wear_end,tyre_wear_delta,distance_m,high_speed_corner_mps,braking_distance_m,mean_downforce_n,mean_drag_n,max_tyre_load_n,solver_iterations,shift_loss_s,feasible,constraint_reasons,objective_value,pareto,circuit_id,objective_run,seed
84,1,13.75,25,0.0475,0.05125,standard,grid,qualifying,50.456615917,82.0089437761,1.47,0.0190284565328,0.0190284565328,2940,54.6838576882,200,10954.1935127,2678.36206912,8500.95475972,16,0.56,True,,50.456615917,False,1,qualifying,42
85,1,13.75,25,0.0475,0.07375,standard,grid,qualifying,50.5390189397,82.0224379091,1.47,0.0189089902289,0.0189089902289,2940,54.4157475093,200,10833.1618273,2667.94969912,8518.11623833,16,0.56,True,,50.5390189397,False,1,qualifying,42
86,1,15.2611120888,27.744978578,0.0309659218135,0.0759300610657,standard,differential_evolution,qualifying,50.600932053,79.5767390759,1.47,0.0192783650181,0.0192783650181,2940,55.9949877323,200,11369.2458351,2978.32915542,8486.46987126,16,0.48,True,,50.600932053,False,1,qualifying,42
87,1,11.0837674754,24.5781528554,0.0269839067728,0.079155271286,standard,differential_evolution,qualifying,50.6072436066,83.0596337108,1.47,0.0186964570734,0.0186964570734,2940,53.4630106692,225,10585.2159255,2540.25725806,8563.26340687,16,0.64,True,,50.6072436066,False,1,qualifying,42
88,1,12.314342381,23.6609790648,0.0473428646772,0.0835379379595,standard,random,qualifying,50.6666810644,83.4698649506,1.47,0.0183591741882,0.0183591741882,2940,53.0291835289,225,10232.0677786,2482.57835639,8413.51062909,16,0.64,True,,50.6666810644,False,1,qualifying,42
89,1,13.5929149758,27.368534188,0.0263724886409,0.0802899915553,standard,differential_evolution,qualifying,50.758607046,80.4240573328,1.47,0.018679297484,0.018679297484,2940,54.4601391908,200,10772.870994,2848.77180779,8362.76596222,16,0.48,True,,50.758607046,False,1,qualifying,42
90,1,24.4268849591,29.0891862897,0.0546788828297,0.0416837269868,standard,differential_evolution,qualifying,51.0802372189,75.6912111763,1.47,0.0183996645288,0.0183996645288,2940,58.3562804572,150,10927.3949664,3504.35311031,7775.33694974,16,0.48,True,,51.0802372189,False,1,qualifying,42
91,1,10.340681097,11.8009572155,0.0466707805179,0.0607844753613,standard,random,qualifying,49.4864705134,91.1398275789,1.47,0.0189652672063,0.0189652672063,2940,53.4189230786,275,10249.1883948,1748.8089082,8635.21122078,17,0.8,False,braking_limit,49.4864705134,False,1,qualifying,42
92,1,19.9781902875,10.0930973799,0.034922771216,0.0537291225717,standard,differential_evolution,qualifying,49.5726448915,87.5478633714,1.47,0.0196910658864,0.0196910658864,2940,54.6867655287,275,11115.2109499,2096.13982561,8036.41590982,16,0.64,False,balance,49.5726448915,False,1,qualifying,42
93,1,20.373480374,10.7830710809,0.0343728054359,0.067518116989,standard,differential_evolution,qualifying,49.61493049,87.1057863153,1.47,0.0197353336176,0.0197353336176,2940,54.8886353639,250,11177.7950858,2143.41454386,8094.39559368,16,0.64,False,balance,49.61493049,False,1,qualifying,42
94,1,23.2079617207,11.188392883,0.0504960624603,0.0520690819568,standard,differential_evolution,qualifying,50.3058052979,85.5653350029,1.47,0.0188593389976,0.0188593389976,2940,53.2543244935,250,10487.2764224,2257.57366462,7876.97970549,16,0.64,False,balance;balance_shift,50.3058052979,False,1,qualifying,42
95,1,11.4126602183,29.5124470327,0.0478341910597,0.0753728937375,standard,random,qualifying,51.3447843067,79.303513586,1.47,0.0183999038283,0.0183999038283,2940,53.2913674321,200,10556.1759502,2936.27990837,8447.95393067,16,0.52,False,balance_shift,51.3447843067,False,1,qualifying,42
96,2,15.6243405106,14.4581580192,0.0298721615783,0.058321284358,standard,local,qualifying,38.2334585584,88.9180195912,1.18,0.0170044306292,0.0170044306292,2360,68.1311612821,175,12073.8987469,2279.00464318,11391.0723472,16,0.48,True,,38.2334585584,True,2,qualifying,42
97,2,15.6243405106,14.2782710697,0.0298721615783,0.058321284358,standard,local,qualifying,38.2363183022,89.0019494714,1.18,0.0169964304541,0.0169964304541,2360,68.1287204996,175,12055.1790794,2267.8103662,11382.3779819,16,0.48,True,,38.2363183022,True,2,qualifying,42
98,2,15.6243405106,14.6480389808,0.0298721615783,0.058321284358,standard,local,qualifying,38.2398379894,88.8295221009,1.18,0.0170087449839,0.0170087449839,2360,68.0986184369,150,12088.1876641,2289.92316022,11400.4711466,16,0.48,True,,38.2398379894,False,2,qualifying,42
